,coordinates,degrees_lat,minutes_lat,directio_lat,degrees_lon,minutes_lon,directio_lon
3340,lat 42° 15'  N lon 60° 35'  W,42,15,N,60,35,W
7347,lat 27° 30' lon 72° 15',27,30,,72,15,
8877,lat 45° 37' lon 15° 12',45,37,,15,12,
44393,lon 105° ,,,,105,,
44476,lon 110°,,,,110,,
48184,lat 31° 15' N lon 136° 42' E,31,15,N,136,42,E
155928,lat 32° 40' N lon 157° 50' W,32,40,N,157,50,W
190947,lat 30°,30,,,,,
192389,lon 172° ,,,,172,,
193105,lon 142° ,,,,142,,
200245,lon 135°   W,,,,135,,W
201140,lat 15°   S,8.5,,S,,,
201147,lat 2°   S lon 164° ,2,,S,164,,
201178,lon 168° ,,,,168,,
202569,lat 16° 4'  S lon 164° 32'  E,16,4,S,164,32,E
206920,lat 8° 18'  S lon 156° 30'  E,8,18,S,156,30,E
256366,lat 10°   S lon 135° ,10,,S,135,,
256655,lat 10° lon 130° ,10,,,130,,
256829,lon 122° ,,,,122,,
262225,lat 15°   S lon 105° ,15,,S,105,,
288489,lat 12° 5'  S lon 94° 33',12,5,S,94,33,
291815,lon 82°,,,,82,,
294966,lat 9° 4'  N,9,4,N,,,
322030,lat 10° 30'  N,12.0,30.0,N,,,
322038,lat 14° 30'  N lon 69° 50'  E,14,30,N,69,50,E
339216,lat 21° 30'  N,21,30,N,,,
393560,lat 33° 22' lon 16° 17',33,22,,16,17,
422500,lat 45°   N,45,,N,,,
428050,lat 45° 37'  S lon 37° 53'  W,45,37,S,37,53,W
447397,lon 50°,,,,50,,
447777,lat 55°  ,55,,,,,
448844,lat 60° ,60,,,,,
450406,lon 50°,,,,50,,
453304,lat 67° 39'  S lon 51° ,67,39,S,51,,
461155,lat 67° 30' lon 52°,67,30,,52,,
461184,lat 90° ,90,,,,,
465680,lat 60°,60,,,,,
467829,lat 77°  32' lon 167°,77,32,,167,,
518257,lon 37°,,,,37,,
554021,lat 47°  24' lon 17°  28',47,24,,17,28,
564206,lat 47°  24' lon 17°  28',47,24,,17,28,
